"Town","FIPS","Year","Variable","Measure Type","Value"
"Colchester","0901115910",2009,"Total Grand List","Number",-6666
"Colebrook","0900516050",2016,"Net Grand List","Number",183081827
"Colebrook","0900516050",2016,"Top 10 Total Grand List","Number",38363965
"Colebrook","0900516050",2016,"Total Grand List","Number",184373687
"Columbia","0901316400",2016,"Net Grand List","Number",484327079
"Columbia","0901316400",2016,"Top 10 Total Grand List","Number",0
"Columbia","0901316400",2016,"Total Grand List","Number",490298778
"Cornwall","0900517240",2016,"Net Grand List","Number",390283120
"Cornwall","0900517240",2016,"Top 10 Total Grand List","Number",44996200
"Cornwall","0900517240",2016,"Total Grand List","Number",391299230
"Coventry","0901317800",2016,"Net Grand List","Number",951967368
"Coventry","0901317800",2016,"Top 10 Total Grand List","Number",35896920
"Coventry","0901317800",2016,"Total Grand List","Number",960348164
"Cromwell","0900718080",2014,"Net Grand List","Number",1290318935
"Cromwell","0900718080",2014,"Top 10 Total Grand List","Number",101819670
"Cromwell","0900718080",2014,"Total Grand List","Number",1303866750
"Danbury","0900118500",2009,"Net Grand List","Number",-6666
"Danbury","0900118500",2009,"Top 10 Total Grand List","Number",-6666
"Danbury","0900118500",2009,"Total Grand List","Number",-6666
"Darien","0900118850",2016,"Net Grand List","Number",8521512679
"Darien","0900118850",2016,"Top 10 Total Grand List","Number",282591461
"Darien","0900118850",2016,"Total Grand List","Number",8523910556
"Deep River","0900719130",2016,"Net Grand List","Number",499045586
"Deep River","0900719130",2016,"Top 10 Total Grand List","Number",32789997
"Deep River","0900719130",2016,"Total Grand List","Number",631164334
"Derby","0900919550",2015,"Net Grand List","Number",721747773
"Derby","0900919550",2015,"Top 10 Total Grand List","Number",71650695
"Derby","0900919550",2015,"Total Grand List","Number",727101168
"Durham","0900720810",2009,"Net Grand List","Number",-6666
"Durham","0900720810",2009,"Top 10 Total Grand List","Number",-6666
"Durham","0900720810",2009,"Total Grand List","Number",-6666
"Eastford","0901521860",2013,"Net Grand List","Number",-6666
"Eastford","0901521860",2013,"Top 10 Total Grand List","Number",-6666
"Eastford","0901521860",2013,"Total Grand List","Number",-6666
"East Granby","0900322070",2016,"Net Grand List","Number",581515512
"East Granby","0900322070",2016,"Top 10 Total Grand List","Number",111135911
"East Granby","0900322070",2016,"Total Grand List","Number",632765214
"East Haddam","0900722280",2016,"Net Grand List","Number",857551748
"East Haddam","0900722280",2016,"Top 10 Total Grand List","Number",35428650
"East Haddam","0900722280",2016,"Total Grand List","Number",867709046
"East Hampton","0900722490",2016,"Net Grand List","Number",1143142817
"East Hampton","0900722490",2016,"Top 10 Total Grand List","Number",40975082
"East Hampton","0900722490",2016,"Total Grand List","Number",1149028970
"East Hartford","0900322630",2014,"Net Grand List","Number",2693033920
"East Hartford","0900322630",2014,"Top 10 Total Grand List","Number",702607871
"East Hartford","0900322630",2014,"Total Grand List","Number",2997298726
"East Haven","0900922910",2016,"Net Grand List","Number",1961193636
"East Haven","0900922910",2016,"Top 10 Total Grand List","Number",146699730
"East Haven","0900922910",2016,"Total Grand List","Number",1962907473
"East Lyme","0901123400",2016,"Net Grand List","Number",2149961115
"East Lyme","0901123400",2016,"Top 10 Total Grand List","Number",228925384
"East Lyme","0901123400",2016,"Total Grand List","Number",2162590555
"Easton","0900123890",2016,"Net Grand List","Number",1280632128
"Easton","0900123890",2016,"Top 10 Total Grand List","Number",59106933
"Easton","0900123890",2016,"Total Grand List","Number",1368308688
"East Windsor","0900324800",2014,"Net Grand List","Number",951995751
"East Windsor","0900324800",2014,"Top 10 Total Grand List","Number",135984840
"East Windsor","0900324800",2014,"Total Grand List","Number",1066551451
"Ellington","0901325360",2014,"Net Grand List","Number",1311524289
"Ellington","0901325360",2014,"Top 10 Total Grand List","Number",287010494
"Ellington","0901325360",2014,"Total Grand List","Number",1334478933
"Enfield","0900325990",2014,"Net Grand List","Number",2882768974
"Enfield","0900325990",2014,"Top 10 Total Grand List","Number",279957232
"Enfield","0900325990",2014,"Total Grand List","Number",2924870811
"Essex","0900726270",2014,"Net Grand List","Number",1033200611
"Essex","0900726270",2014,"Top 10 Total Grand List","Number",60505020
"Essex","0900726270",2014,"Total Grand List","Number",1048056444
"Fairfield","0900126620",2014,"Net Grand List","Number",10975624915
"Fairfield","0900126620",2014,"Top 10 Total Grand List","Number",452802043
"Fairfield","0900126620",2014,"Total Grand List","Number",11021545153
"Farmington","0900327600",2016,"Net Grand List","Number",3595959571
"Farmington","0900327600",2016,"Top 10 Total Grand List","Number",426896640
"Farmington","0900327600",2016,"Total Grand List","Number",3664627838
"Franklin","0901129910",2016,"Net Grand List","Number",204185571
"Franklin","0901129910",2016,"Top 10 Total Grand List","Number",32663850
"Franklin","0901129910",2016,"Total Grand List","Number",206929181
"Glastonbury","0900331240",2014,"Net Grand List","Number",3871305346
"Glastonbury","0900331240",2014,"Top 10 Total Grand List","Number",166955500
"Glastonbury","0900331240",2014,"Total Grand List","Number",4146389655
"Goshen","0900532290",2016,"Net Grand List","Number",528542130
"Goshen","0900532290",2016,"Top 10 Total Grand List","Number",24081150
"Goshen","0900532290",2016,"Total Grand List","Number",559933500
"Granby","0900332640",2013,"Net Grand List","Number",-6666
"Granby","0900332640",2013,"Top 10 Total Grand List","Number",-6666
"Granby","0900332640",2013,"Total Grand List","Number",-6666
"Greenwich","0900133620",2014,"Net Grand List","Number",31086586390
"Greenwich","0900133620",2014,"Top 10 Total Grand List","Number",1033266290
"Greenwich","0900133620",2014,"Total Grand List","Number",31127490950
"Griswold","0901133900",2014,"Net Grand List","Number",704317811
"Griswold","0901133900",2014,"Top 10 Total Grand List","Number",0
"Griswold","0901133900",2014,"Total Grand List","Number",712031571
"Groton","0901134250",2014,"Net Grand List","Number",3820151399
"Groton","0901134250",2014,"Top 10 Total Grand List","Number",788275995
"Groton","0901134250",2014,"Total Grand List","Number",5023118993
"Guilford","0900934950",2015,"Net Grand List","Number",3074936075
"Guilford","0900934950",2015,"Top 10 Total Grand List","Number",103715855
"Guilford","0900934950",2015,"Total Grand List","Number",3097760155
"Haddam","0900735230",2012,"Net Grand List","Number",-6666
"Haddam","0900735230",2012,"Top 10 Total Grand List","Number",-6666
"Haddam","0900735230",2012,"Total Grand List","Number",-6666
"Hamden","0900935650",2014,"Net Grand List","Number",4075493965
"Hamden","0900935650",2014,"Top 10 Total Grand List","Number",261938020
"Hamden","0900935650",2014,"Total Grand List","Number",4850492588
"Hampton","0901536000",2016,"Net Grand List","Number",140063946
"Hampton","0901536000",2016,"Top 10 Total Grand List","Number",22772030
"Hampton","0901536000",2016,"Total Grand List","Number",143328541
"Hartford","0900337070",2013,"Net Grand List","Number",-6666
"Hartford","0900337070",2013,"Top 10 Total Grand List","Number",-6666
"Hartford","0900337070",2013,"Total Grand List","Number",-6666
"Hartland","0900337140",2014,"Net Grand List","Number",196621970
"Hartland","0900337140",2014,"Top 10 Total Grand List","Number",26134919
"Hartland","0900337140",2014,"Total Grand List","Number",197143250
"Harwinton","0900537280",2016,"Net Grand List","Number",556281571
"Harwinton","0900537280",2016,"Top 10 Total Grand List","Number",44436410
"Harwinton","0900537280",2016,"Total Grand List","Number",-6666
"Hebron","0901337910",2016,"Net Grand List","Number",755158200
"Hebron","0901337910",2016,"Top 10 Total Grand List","Number",22177170
"Hebron","0901337910",2016,"Total Grand List","Number",760176060
"Kent","0900540290",2016,"Net Grand List","Number",600802817
"Kent","0900540290",2016,"Top 10 Total Grand List","Number",44181650
"Kent","0900540290",2016,"Total Grand List","Number",729440391
"Killingly","0901540500",2014,"Net Grand List","Number",1216303959
"Killingly","0901540500",2014,"Top 10 Total Grand List","Number",264335538
"Killingly","0901540500",2014,"Total Grand List","Number",1527677336
"Killingworth","0900740710",2016,"Net Grand List","Number",691256002
"Killingworth","0900740710",2016,"Top 10 Total Grand List","Number",26021650
"Killingworth","0900740710",2016,"Total Grand List","Number",743735692
"Lebanon","0901142390",2016,"Net Grand List","Number",625039701
"Lebanon","0901142390",2016,"Top 10 Total Grand List","Number",74853730
"Lebanon","0901142390",2016,"Total Grand List","Number",626939701
"Ledyard","0901142600",2016,"Net Grand List","Number",1099748200
"Ledyard","0901142600",2016,"Top 10 Total Grand List","Number",85110296
"Ledyard","0901142600",2016,"Total Grand List","Number",1119983362
"Lisbon","0901143230",2016,"Net Grand List","Number",371857888
"Lisbon","0901143230",2016,"Top 10 Total Grand List","Number",68702680
"Lisbon","0901143230",2016,"Total Grand List","Number",387984509
"Litchfield","0900543370",2015,"Net Grand List","Number",1033225640
"Litchfield","0900543370",2015,"Top 10 Total Grand List","Number",90687124
"Litchfield","0900543370",2015,"Total Grand List","Number",1036999800
"Lyme","0901144210",2016,"Net Grand List","Number",522563142
"Lyme","0901144210",2016,"Top 10 Total Grand List","Number",28332175
"Lyme","0901144210",2016,"Total Grand List","Number",523790941
"Madison","0900944560",2014,"Net Grand List","Number",2858542117
"Madison","0900944560",2014,"Top 10 Total Grand List","Number",77027425
"Madison","0900944560",2014,"Total Grand List","Number",3145665777
"Manchester","0900344700",2016,"Net Grand List","Number",3985572184
"Manchester","0900344700",2016,"Top 10 Total Grand List","Number",553665831
"Manchester","0900344700",2016,"Total Grand List","Number",4516139037
"Mansfield","0901344910",2016,"Net Grand List","Number",1072179179
"Mansfield","0901344910",2016,"Top 10 Total Grand List","Number",187130370
"Mansfield","0901344910",2016,"Total Grand List","Number",1080047527
"Marlborough","0900345820",2015,"Net Grand List","Number",576606550
"Marlborough","0900345820",2015,"Top 10 Total Grand List","Number",21020655
"Marlborough","0900345820",2015,"Total Grand List","Number",-6666
"Meriden","0900946520",2016,"Net Grand List","Number",32166495723
"Meriden","0900946520",2016,"Top 10 Total Grand List","Number",276246308
"Meriden","0900946520",2016,"Total Grand List","Number",3287379573
"Middlebury","0900946940",2015,"Net Grand List","Number",941970037
"Middlebury","0900946940",2015,"Top 10 Total Grand List","Number",75332041
"Middlebury","0900946940",2015,"Total Grand List","Number",947316992
"Middlefield","0900747080",2016,"Net Grand List","Number",401247930
"Middlefield","0900747080",2016,"Top 10 Total Grand List","Number",33729510
"Middlefield","0900747080",2016,"Total Grand List","Number",416600880
"Middletown","0900747360",2015,"Net Grand List","Number",3329284583
"Middletown","0900747360",2015,"Top 10 Total Grand List","Number",520588089
"Middletown","0900747360",2015,"Total Grand List","Number",3534691490
"Milford","0900947535",2014,"Net Grand List","Number",6388015939
"Milford","0900947535",2014,"Top 10 Total Grand List","Number",513489894
"Milford","0900947535",2014,"Total Grand List","Number",6554994017
"Monroe","0900148620",2012,"Net Grand List","Number",-6666
"Monroe","0900148620",2012,"Top 10 Total Grand List","Number",-6666
"Monroe","0900148620",2012,"Total Grand List","Number",-6666
"Montville","0901148900",2016,"Net Grand List","Number",1253875752
"Montville","0901148900",2016,"Top 10 Total Grand List","Number",138308759
"Montville","0901148900",2016,"Total Grand List","Number",1300277525
"Morris","0900549460",2015,"Net Grand List","Number",299635985
"Morris","0900549460",2015,"Top 10 Total Grand List","Number",40705200
"Morris","0900549460",2015,"Total Grand List","Number",300831865
"Naugatuck","0900949950",2016,"Net Grand List","Number",1606106106
"Naugatuck","0900949950",2016,"Top 10 Total Grand List","Number",115570010
"Naugatuck","0900949950",2016,"Total Grand List","Number",1656486692
"New Britain","0900350440",2016,"Net Grand List","Number",2461910045
"New Britain","0900350440",2016,"Top 10 Total Grand List","Number",172856975
"New Britain","0900350440",2016,"Total Grand List","Number",2584263274
"New Canaan","0900150580",2013,"Net Grand List","Number",-6666
"New Canaan","0900150580",2013,"Top 10 Total Grand List","Number",-6666
"New Canaan","0900150580",2013,"Total Grand List","Number",-6666
"New Fairfield","0900150860",2014,"Net Grand List","Number",1679534745
"New Fairfield","0900150860",2014,"Top 10 Total Grand List","Number",961697.14
"New Fairfield","0900150860",2014,"Total Grand List","Number",1685807775
"New Hartford","0900551350",2015,"Net Grand List","Number",656493422
"New Hartford","0900551350",2015,"Top 10 Total Grand List","Number",47927470
"New Hartford","0900551350",2015,"Total Grand List","Number",669319032
"New Haven","0900952070",2013,"Net Grand List","Number",-6666
"New Haven","0900952070",2013,"Top 10 Total Grand List","Number",-6666
"New Haven","0900952070",2013,"Total Grand List","Number",-6666
"Newington","0900352140",2014,"Net Grand List","Number",2550822204
"Newington","0900352140",2014,"Top 10 Total Grand List","Number",176661012
"Newington","0900352140",2014,"Total Grand List","Number",2640106269
"New London","0901152350",2016,"Net Grand List","Number",1309373494
"New London","0901152350",2016,"Top 10 Total Grand List","Number",203292867
"New London","0901152350",2016,"Total Grand List","Number",2184623320
"New Milford","0900552630",2016,"Net Grand List","Number",2881802500
"New Milford","0900552630",2016,"Top 10 Total Grand List","Number",239406305
"New Milford","0900552630",2016,"Total Grand List","Number",2970724760
"Newtown","0900152980",2014,"Net Grand List","Number",3075096001
"Newtown","0900152980",2014,"Top 10 Total Grand List","Number",112172725
"Newtown","0900152980",2014,"Total Grand List","Number",3394155203
"Norfolk","0900553470",2016,"Net Grand List","Number",301157995
"Norfolk","0900553470",2016,"Top 10 Total Grand List","Number",24287130
"Norfolk","0900553470",2016,"Total Grand List","Number",302627345
"North Branford","0900953890",2016,"Net Grand List","Number",1236850776
"North Branford","0900953890",2016,"Top 10 Total Grand List","Number",129168761
"North Branford","0900953890",2016,"Total Grand List","Number",1264937558
"North Canaan","0900554030",2016,"Net Grand List","Number",327861960
"North Canaan","0900554030",2016,"Top 10 Total Grand List","Number",104143810
"North Canaan","0900554030",2016,"Total Grand List","Number",370597870
"North Haven","0900954870",2014,"Net Grand List","Number",2810958951
"North Haven","0900954870",2014,"Top 10 Total Grand List","Number",198349497
"North Haven","0900954870",2014,"Total Grand List","Number",3215155147
"North Stonington","0901155500",2016,"Net Grand List","Number",522068114
"North Stonington","0901155500",2016,"Top 10 Total Grand List","Number",0
"North Stonington","0901155500",2016,"Total Grand List","Number",567537965
"Norwalk","0900156060",2014,"Net Grand List","Number",11902540386
"Norwalk","0900156060",2014,"Top 10 Total Grand List","Number",1006630346
"Norwalk","0900156060",2014,"Total Grand List","Number",11972380282
"Norwich","0901156270",2014,"Net Grand List","Number",2423927020
"Norwich","0901156270",2014,"Top 10 Total Grand List","Number",142724020
"Norwich","0901156270",2014,"Total Grand List","Number",2457677290
"Old Lyme","0901157040",2016,"Net Grand List","Number",1574693985
"Old Lyme","0901157040",2016,"Top 10 Total Grand List","Number",59001770
"Old Lyme","0901157040",2016,"Total Grand List","Number",1681994355
"Old Saybrook","0900757320",2014,"Net Grand List","Number",2222504988
"Old Saybrook","0900757320",2014,"Top 10 Total Grand List","Number",0
"Old Saybrook","0900757320",2014,"Total Grand List","Number",2236850948
"Orange","0900957600",2015,"Net Grand List","Number",1938798050
"Orange","0900957600",2015,"Top 10 Total Grand List","Number",227197070
"Orange","0900957600",2015,"Total Grand List","Number",1958550920
"Oxford","0900958300",2016,"Net Grand List","Number",1477153946
"Oxford","0900958300",2016,"Top 10 Total Grand List","Number",106154610
"Oxford","0900958300",2016,"Total Grand List","Number",-6666
"Plainfield","0901559980",2016,"Net Grand List","Number",935517040
"Plainfield","0901559980",2016,"Top 10 Total Grand List","Number",165315137
"Plainfield","0901559980",2016,"Total Grand List","Number",964264650
"Plainville","0900360120",2016,"Net Grand List","Number",1381073382
"Plainville","0900360120",2016,"Top 10 Total Grand List","Number",142811410
"Plainville","0900360120",2016,"Total Grand List","Number",1538910100
"Plymouth","0900560750",2016,"Net Grand List","Number",741144609
"Plymouth","0900560750",2016,"Top 10 Total Grand List","Number",33488870
"Plymouth","0900560750",2016,"Total Grand List","Number",810016174
"Pomfret","0901561030",2015,"Net Grand List","Number",343227049
"Pomfret","0901561030",2015,"Top 10 Total Grand List","Number",28123059
"Pomfret","0901561030",2015,"Total Grand List","Number",350256699
"Portland","0900761800",2013,"Net Grand List","Number",-6666
"Portland","0900761800",2013,"Top 10 Total Grand List","Number",-6666
"Portland","0900761800",2013,"Total Grand List","Number",-6666
"Preston","0901162150",2016,"Net Grand List","Number",402977198
"Preston","0901162150",2016,"Top 10 Total Grand List","Number",35866790
"Preston","0901162150",2016,"Total Grand List","Number",488892467
"Prospect","0900962290",2016,"Net Grand List","Number",845616845
"Prospect","0900962290",2016,"Top 10 Total Grand List","Number",45015108
"Prospect","0900962290",2016,"Total Grand List","Number",906228850
"Putnam","0901562710",2016,"Net Grand List","Number",612939259
"Putnam","0901562710",2016,"Top 10 Total Grand List","Number",85641768
"Putnam","0901562710",2016,"Total Grand List","Number",642088504
"Redding","0900163480",2016,"Net Grand List","Number",1633286803
"Redding","0900163480",2016,"Top 10 Total Grand List","Number",173968688
"Redding","0900163480",2016,"Total Grand List","Number",1634382633
"Ridgefield","0900163970",2014,"Net Grand List","Number",4711745970
"Ridgefield","0900163970",2014,"Top 10 Total Grand List","Number",339965033
"Ridgefield","0900163970",2014,"Total Grand List","Number",4849726656
"Rocky Hill","0900365370",2016,"Net Grand List","Number",2062612240
"Rocky Hill","0900365370",2016,"Top 10 Total Grand List","Number",213735380
"Rocky Hill","0900365370",2016,"Total Grand List","Number",2314086924
"Roxbury","0900565930",2016,"Net Grand List","Number",707014810
"Roxbury","0900565930",2016,"Top 10 Total Grand List","Number",46017140
"Roxbury","0900565930",2016,"Total Grand List","Number",707872620
"Salem","0901166210",2015,"Net Grand List","Number",366624276
"Salem","0901166210",2015,"Top 10 Total Grand List","Number",21427160
"Salem","0901166210",2015,"Total Grand List","Number",369484737
"Salisbury","0900566420",2016,"Net Grand List","Number",1252734196
"Salisbury","0900566420",2016,"Top 10 Total Grand List","Number",70730500
"Salisbury","0900566420",2016,"Total Grand List","Number",1255850546
"Scotland","0901567400",2016,"Net Grand List","Number",114453985
"Scotland","0901567400",2016,"Top 10 Total Grand List","Number",6730480
"Scotland","0901567400",2016,"Total Grand List","Number",115928975
"Seymour","0900967610",2016,"Net Grand List","Number",1200101630
"Seymour","0900967610",2016,"Top 10 Total Grand List","Number",65343900
"Seymour","0900967610",2016,"Total Grand List","Number",1228240350
"Sharon","0900567960",2016,"Net Grand List","Number",742904228
"Sharon","0900567960",2016,"Top 10 Total Grand List","Number",77871070
"Sharon","0900567960",2016,"Total Grand List","Number",826423518
"Shelton","0900168170",2016,"Net Grand List","Number",4651410086
"Shelton","0900168170",2016,"Top 10 Total Grand List","Number",495953840
"Shelton","0900168170",2016,"Total Grand List","Number",4718489526
"Sherman","0900168310",2015,"Net Grand List","Number",678529904
"Sherman","0900168310",2015,"Top 10 Total Grand List","Number",27687215
"Sherman","0900168310",2015,"Total Grand List","Number",681082094
"Simsbury","0900368940",2013,"Net Grand List","Number",-6666
"Simsbury","0900368940",2013,"Top 10 Total Grand List","Number",-6666
"Simsbury","0900368940",2013,"Total Grand List","Number",-6666
"Somers","0901369220",2015,"Net Grand List","Number",846448180
"Somers","0901369220",2015,"Top 10 Total Grand List","Number",45928522
"Somers","0901369220",2015,"Total Grand List","Number",856051496
"Southbury","0900969640",2016,"Net Grand List","Number",2130144963
"Southbury","0900969640",2016,"Top 10 Total Grand List","Number",238273850
"Southbury","0900969640",2016,"Total Grand List","Number",2300756096
"Southington","0900370550",2014,"Net Grand List","Number",3828716963
"Southington","0900370550",2014,"Top 10 Total Grand List","Number",176098133
"Southington","0900370550",2014,"Total Grand List","Number",3930337896
"South Windsor","0900371390",2016,"Net Grand List","Number",2602708150
"South Windsor","0900371390",2016,"Top 10 Total Grand List","Number",223465770
"South Windsor","0900371390",2016,"Total Grand List","Number",2748019874
"Sprague","0901171670",2016,"Net Grand List","Number",173974460
"Sprague","0901171670",2016,"Top 10 Total Grand List","Number",45262894
"Sprague","0901171670",2016,"Total Grand List","Number",183191120
"Stafford","0901372090",2014,"Net Grand List","Number",769272354
"Stafford","0901372090",2014,"Top 10 Total Grand List","Number",42943030
"Stafford","0901372090",2014,"Total Grand List","Number",814900089
"Stamford","0900173070",2009,"Net Grand List","Number",-6666
"Stamford","0900173070",2009,"Top 10 Total Grand List","Number",-6666
"Stamford","0900173070",2009,"Total Grand List","Number",-6666
"Sterling","0901573420",2016,"Net Grand List","Number",225426236
"Sterling","0901573420",2016,"Top 10 Total Grand List","Number",0
"Sterling","0901573420",2016,"Total Grand List","Number",230668596
"Stonington","0901173770",2016,"Net Grand List","Number",2647816872
"Stonington","0901173770",2016,"Top 10 Total Grand List","Number",161418718
"Stonington","0901173770",2016,"Total Grand List","Number",2677711194
"Stratford","0900174190",2016,"Net Grand List","Number",4492487619
"Stratford","0900174190",2016,"Top 10 Total Grand List","Number",316420940
"Stratford","0900174190",2016,"Total Grand List","Number",5172405202
"Suffield","0900374540",2013,"Net Grand List","Number",-6666
"Suffield","0900374540",2013,"Top 10 Total Grand List","Number",-6666
"Suffield","0900374540",2013,"Total Grand List","Number",-6666
"Thomaston","0900575730",2016,"Net Grand List","Number",547676208
"Thomaston","0900575730",2016,"Top 10 Total Grand List","Number",42431090
"Thomaston","0900575730",2016,"Total Grand List","Number",581762988
"Thompson","0901575870",2014,"Net Grand List","Number",-6666
"Thompson","0901575870",2014,"Top 10 Total Grand List","Number",0
"Thompson","0901575870",2014,"Total Grand List","Number",-6666
"Tolland","0901376290",2016,"Net Grand List","Number",1276711687
"Tolland","0901376290",2016,"Top 10 Total Grand List","Number",71692180
"Tolland","0901376290",2016,"Total Grand List","Number",1423261522
"Torrington","0900576570",2016,"Net Grand List","Number",1956793060
"Torrington","0900576570",2016,"Top 10 Total Grand List","Number",166531280
"Torrington","0900576570",2016,"Total Grand List","Number",202233610
"Trumbull","0900177200",2014,"Net Grand List","Number",4521143159
"Trumbull","0900177200",2014,"Top 10 Total Grand List","Number",512110220
"Trumbull","0900177200",2014,"Total Grand List","Number",4567125109
"Union","0901377830",2016,"Net Grand List","Number",90522627
"Union","0901377830",2016,"Top 10 Total Grand List","Number",7413195
"Union","0901377830",2016,"Total Grand List","Number",90954077
"Vernon","0901378250",2014,"Net Grand List","Number",1768690830
"Vernon","0901378250",2014,"Top 10 Total Grand List","Number",190457999
"Vernon","0901378250",2014,"Total Grand List","Number",1787124288
"Voluntown","0901178600",2016,"Net Grand List","Number",202824520
"Voluntown","0901178600",2016,"Top 10 Total Grand List","Number",12870910
"Voluntown","0901178600",2016,"Total Grand List","Number",234968020
"Wallingford","0900978740",2016,"Net Grand List","Number",4217775833
"Wallingford","0900978740",2016,"Top 10 Total Grand List","Number",282928150
"Wallingford","0900978740",2016,"Total Grand List","Number",4464209753
"Warren","0900579510",2016,"Net Grand List","Number",362998950
"Warren","0900579510",2016,"Top 10 Total Grand List","Number",42798220
